"","O14625","O43508","P01133","P01579","P02778","P05112","P05231","P09603","P10145","P10147","P13232","P13236","P13500","P14210","P15692","P22301","P35225","P39900","P48061","P50591","P51671","P80075","P80098","Q07325","Q14116","Q99616","Q99731"
"1",10.6006999745192,8.7000130889848,10.1096961705546,3.35191096110308,7.5407867415276,2.23327453899093,2.65558080965278,7.93069003531069,7.33597981860547,5.57751946571465,4.21823869925318,7.17604346282569,10.6746980939399,6.89138273014284,8.7772059914414,3.31976242766925,0.745882688902259,5.74940018197365,1.65901117119815,7.54045355292017,8.93826226437582,7.38476648512793,2.80487960825467,6.77403587213057,8.90638857062238,11.2860292156564,9.58999375760474
"3",10.1559262805774,9.4075227099128,9.40494355776523,4.4146091356002,7.73830847873941,1.1991226420136,2.5668151540109,8.13651440583915,6.26201965409269,5.80004567512301,3.72672224803506,7.65871133997392,10.9431558049393,7.28084499047432,8.16749341491382,4.05145911327323,0.838346736521231,5.80033047292464,1.93206117134342,7.69587553175814,8.90277003023222,7.83438255776068,3.03755793542403,6.55999648464011,9.31578810224693,11.319175332905,9.5722719960583
"4",10.2394,9.25482,8.95158,4.17998868478701,7.76769,1.04893364519792,3.50762,7.7316,7.27428,5.74182,7.3573,7.75563,10.44714,7.13562,7.95594,3.47677,1.61870851231379,4.20552,1.151858816727,7.67899,8.9056,7.25813,2.34641,6.69559,8.45333,10.20229,11.48567
"5",9.88515945668233,8.56606926442363,9.78086616183026,3.93357263826102,7.71039319217052,2.04264433740849,2.65969626580899,7.52527022428757,6.06686416170014,4.80482799402856,3.56888335993031,7.4462396851268,10.9246640705545,7.58726746769686,7.60759663286692,3.26573692621362,1.6544355408454,4.45457073742698,1.02431967919541,7.55977475681311,10.0553827698252,8.05886844166944,3.0492822485682,6.25751984796422,8.56967336165733,11.2308382515948,9.91114177915721
"6",10.3461,8.6503,9.37102,4.17016543058059,8.10277,0.751892138404309,2.60569,7.79679,6.73318,5.4623,3.53769,7.19692,10.70867,6.9574,7.88789,4.15272,1.03268,7.12163,0.845590408847855,7.23745,9.12917,8.09582,3.78857,6.99032,9.10157,12.9055,9.68797
"9",10.8060686434715,8.27968950348164,9.25067740130403,3.87233628810464,9.09013624378935,0.783247097378117,3.701881692315,7.75342402766576,7.19696106521006,6.95404505217133,4.18404220628601,7.54290804486183,10.173504752052,7.73799089575233,8.12021195266984,3.69488019279919,2.033158666781,5.76264115237317,0.954568570752994,7.50766780429015,9.39077299859133,7.83593670283216,2.96919654799175,8.05178535986355,8.65858282179994,11.1254993580075,9.74907497239975
"10",9.2638724470996,7.96280348485299,10.3861642783321,4.17128690373936,7.11592798919079,1.40544784370754,3.29704464459962,7.08539278675363,6.59157470525917,4.50969584193339,4.59627922283018,7.24765223615521,9.80594374007737,6.95133134678031,8.03536547703152,3.05536921154049,1.08406426478847,4.66704055902299,0.463622456851893,7.32557530265719,9.13349674036893,8.3801796417605,3.31368120713188,5.76388956064633,9.50099121913999,10.4667759657352,9.29842462842571
"11",9.54684,8.05783,9.45854,3.48439596250267,6.46027,0.560714954474479,4.25658,7.10567,5.85119,4.51614,3.95864,6.4194,9.9801,6.20482,8.33971,3.34559,1.09828479572342,4.54453,0.632268215499513,6.29055,8.61154,7.66439,2.73679,6.00854,8.48368,10.45748,8.01463
"13",11.2491170090652,8.68224671580207,9.29143779769938,3.14110576043013,8.22519297376282,1.79659775404831,4.04168105196497,8.03424873562899,6.96502234050954,7.14128972420746,4.44546186717836,7.43295940727611,10.5028705803248,7.00379335413057,8.2939176083315,3.68627640180745,1.57434375392001,5.11286690866318,1.0962618530584,7.57661283257855,8.60911223594157,7.61272108796825,3.11919014964541,7.08681560492918,8.6486523830238,10.4657378039393,10.1186945480128
"15",9.9389,8.44636,9.68254,3.93894440638574,7.96844,1.92181713984662,2.64932,7.67979,5.99654,5.35754,3.79068,7.41106,10.63419,7.03595,7.82535,4.03578,1.44837239461205,4.96235,1.58400038328577,7.52991,9.12795,8.13013,3.14737,6.64271,8.55071,9.3306,8.96633
