subject_id	O14625	O43508	P01133	P01135	P01374	P01375	P01579	P01584	P02778	P03956	P04141	P05112	P05231	P09603	P09919	P10145	P10147	P13232	P13236	P13500	P13725	P14210	P15692	P22301	P35225	P39900	P40933	P48061	P49771	P50591	P51671	P78380	P80075	P80098	Q07325	Q14116	Q16552	Q8NEV9_Q14213	Q969D9	Q96PD4	Q99616	Q99731	Q9P0M4
99	532.27329	458.7878	55.88631	4.38039	9.57722	11.16664	0.17553		55.83875	790.66808			0.66473	118.11983	85.14455	4.64692	3.27201	0.74689	58.12579	350.00493	0.84609	89.66534	172.84826	6.45257		137.63777	10.226	148.7096	117.72743	323.15882	293.81571	184.87136	40.93158	1.7934	51.05939	153.71153	0.26463	10.07876		0.87378	489.76188	95.64441	9.46155
100																												156.76578				69.70112	32.73282					2.74268					
101																												184.6634				47.13581	15.63076					3.49206					
102	188.19398	355.83448	151.24805	5.28153	5.1286	9.02907	0.14718		25.3055	262.44779			5.21107	105.13856	179.016	3.13316	3.22611	0.62562	77.6798	218.8425	1.7229	94.27427	175.64032	3.47709	0.60806	122.666	9.94366	208.07746	68.32626	325.16333	164.1962	84.53684	20.76133	1.13491	21.38808	269.60796		8.12746			203.30847	165.10645	15.72121
103	225.55124	453.89761	206.1973	5.41758	7.07891	11.72146	0.11809	0.36925	32.20025	331.95613			4.19371	119.67248	101.34565	4.27203	3.61158	0.74047	91.82578	208.00988	1.25116	109.57821	184.98676	3.15213	1.41581	153.46229	11.0233	185.50236	77.48396	360.3693	200.62705	60.29371	22.69253	1.38815	28.00457	300.39081	0.17202	8.12709			231.45693	192.13379	18.60712
104	473.08576	392.824	63.20433	10.94083	10.53508	30.63811	0.58065	1.45724	104.82622	357.53985	2.85599	0.4318	1.87747	128.28448	175.51824	27.27334	24.75435	5.30419	103.85906	185.68817	4.93038	184.92935	192.79221	3.91214	53.66713	171.88544	10.63986	140.03253	85.58677	337.73822	208.17201	292.14087	37.13249	3.2059	73.05085	244.96218	0.84291	7.92694	3.54972	3.11827	172.63176	102.90119	12.33712
106	314.07487	313.44507	97.26362	2.9528	9.29739	9.05386	0.13966		57.37298	908.00952			0.46761	132.7942	63.26495	4.82072	4.47496	0.70761	36.96701	215.52726	0.82636	74.96869	191.824	4.06964	0.61755	134.75748	9.91997	146.38886	83.18997	308.06947	199.72444	86.62063	31.54438	0.9919	40.64988	234.20832	0.23523	15.52547		0.62	270.93771	56.01386	8.35888
108	504.04044	417.01555	135.27198	12.2112	14.23114	20.6019	0.28364		86.71187	598.17603		0.06012	13.42537	125.13423	103.2614	16.85297	11.42941	0.79993	95.26595	209.41035	8.90205	224.75532	234.81839	12.8784	5.23691	255.18907	5.72295	158.3136	52.59435	406.01598	236.369	224.55057	30.2087	2.77868	95.67989	403.72652	0.86936	4.65807		1.32398	235.52641	240.92252	13.29628
109	370.67551	425.01667	137.80201	13.33094	12.59295	12.61129	0.23215		55.27861	515.96394			0.74062	117.42629	63.09612	28.83018	11.34614	4.69506	78.50725	201.67525	7.04514	167.59539	176.24704	4.94253	87.42328	189.60821	10.08544	259.26945	80.87764	372.1437	290.62821	485.12674	25.4386	1.65137	41.82439	149.62205		10.21388			292.31342	92.62906	9.06457
110	345.41524	480.56514	119.45449	9.56141	12.43394	13.26736	0.19307		46.09863	595.41208			0.61684	119.88648	22.52372	87.40041	14.10136	4.23986	85.14779	206.5645	4.77151	150.01107	180.85382	4.26962	87.11861	195.00334	9.23937	117.35495	75.98483	297.74776	337.5997	58.52471	45.9623	1.3711	43.094	148.0157		10.67029			245.8199	80.31451	45.80539
