subject_id	O14625	O43508	P01133	P01135	P01374	P01375	P01579	P01584	P02778	P03956	P04141	P05112	P05231	P09603	P09919	P10145	P10147	P13232	P13236	P13500	P13725	P14210	P15692	P22301	P35225	P39900	P40933	P48061	P49771	P50591	P51671	P78380	P80075	P80098	Q07325	Q14116	Q16552	Q8NEV9_Q14213	Q969D9	Q96PD4	Q99616	Q99731	Q9P0M4
98	334.38898	460.66978	208.43547	11.41415	9.11069	19.48558	0.1732		68.97402	520.04136			2.71809	146.75043	94.72789	21.63714	10.84368	0.95937	94.88804	255.48328	9.89634	233.33714	269.46181	4.6295	11.8071	129.04484	9.71282	167.69454	92.23582	397.90935	186.24679	186.91085	45.61534	1.52495	39.82171	267.28527	0.14766	6.34415	1.27368	3.00078	292.4975	77.64282	11.02324
99	396.64566	335.51925	85.65023	3.40241	9.10618	14.75014	0.20054	0.73974	61.74164	809.81922			1.37453	117.95058	35.06301	23.03985	38.89183	0.68139	160.59823	207.53564	1.68033	95.90169	163.60159	3.59599	0.54977	143.4707	8.32653	172.20759	71.51071	304.99289	238.03701	258.54961	44.4996	1.40228	44.92446	191.77453	0.1647	9.92161			352.18214	75.39903	6.57658
100	262.76103	418.41654	95.82414	4.47567	7.458	11.26325	0.09261	0.37333	44.90415	305.17428			0.82604	107.71606	40.97974	12.25663	5.76766	0.79024	31.22506	218.87328	2.44877	102.29645	273.00605	3.65606	1.71684	262.05862	12.05389	157.49216	74.17552	329.04351	198.04208	35.79027	37.61698	1.26368	37.66179	171.94619	0.21459	2.50021			342.89254	71.29416	13.62632
101	419.3267	371.27996	310.9185	5.93952	7.08796	18.49307	0.17581		66.11049	907.02735			1.87573	129.4578	101.63077	15.0324	8.90687	1.43385	95.42523	264.18348	3.42688	150.47179	286.56452	3.98388	8.22671	142.07892	7.63981	170.1393	88.23857	396.97901	186.0935	134.52918	15.51482	2.27681	44.18109	275.30582	0.26827	3.16078	1.1421	2.75603	315.83084	80.05259	7.90297
102	451.71504	388.95539	109.6623	5.65157	5.78745	11.9786	0.18279		71.44386	843.69858			0.88267	115.57741	46.60172	7.93936	5.63762	0.66641	62.45015	239.68478	2.57452	127.71158	175.7413	7.20525	2.1032	171.23029	8.41767	128.86701	100.64779	333.97388	208.10257	34.89595	21.34345	1.36792	40.90259	131.66715	0.22693	8.19167			350.3636	98.05125	10.92375
103	404.84657	455.86995	197.37093	9.00773	6.75726	15.40602	0.19427	0.26446	64.22015	319.14668			4.12391	146.87263	66.55267	65.86162	52.60819	0.80776	250.80196	293.69818	6.23312	160.82874	209.29089	4.35514	0.78806	253.7439	9.28498	131.52988	80.4186	324.45175	263.92302	64.56795	28.19689	2.00589	36.18402	201.8001	0.24736	24.9277		0.47734	280.8791	202.0121	37.38078
104	457.23864	309.22847	154.73351	4.06902	5.40771	12.41695	1.4365		94.36713	603.40915			6.527	101.45967	167.40945	3.66076	3.51518	0.7765	47.64909	178.05808	1.76384	90.66759	192.0289	5.72282		101.85431	11.65047	198.19972	54.88563	324.75355	178.13338	191.80608	38.54503	3.01973	36.62592	302.96866	1.18434	7.18245		1.05349	224.31955	135.45	22.30167
105	399.88436	328.83407	79.99278	4.74196	8.22603	14.36454	0.78333		86.30117	763.24819			3.03978	119.00925	90.26543	4.0943	8.27021	1.18987	112.99561	355.84865	0.70751	104.68403	235.24639	9.85985		147.9841	15.54502	152.25096	104.36707	507.91511	326.82716	159.33043	53.43469	2.69456	57.34962	277.70094	0.28473	6.52096			771.27698	161.54631	39.34395
107	314.73867	415.01218	114.18932	14.68133	10.19511	11.50288	0.1218		38.37465	448.88216			0.89749	106.98703	49.63187	15.3207	7.94276	4.15895	62.24054	171.47306	7.26347	189.36608	165.86996	3.39969	88.67799	155.55882	7.72255	167.76052	72.43204	364.05985	296.83544	96.75797	27.66304	1.35884	35.87985	169.70228		6.4541			222.32114	76.74934	6.27799
108	368.95736	395.89251	90.71417	5.79137	12.05786	18.26444	0.26238		65.53926	355.07975			3.20246	129.58749	137.8411	4.39174	5.68879	0.54679	48.57496	334.30256	2.85342	121.30208	182.13111	4.80001		155.69842	11.13005	172.47506	86.99637	283.56546	302.25122	210.50292	27.47174	1.4475	43.37	235.00652	1.37862	4.245			574.46761	50.05279	23.32877
109	161.97406	197.89829	76.72399	3.65334	5.7264	13.28882	0.17128		87.99575	262.0558			1.56695	140.34936	68.68494	4.20945	7.38491	0.50336	56.30257	111.17882	1.5604	80.98878	144.5855	4.22175		120.74178	8.93954	231.00705	70.24773	260.42409	77.15713	549.13267	23.49075	1.10976	25.35468	167.77363		8.98083			83.39054	90.55112	8.64939
110	681.23539	429.27303	141.9201	6.01959	8.01723	13.92637	0.49094	0.23747	110.37486	442.06822			1.24396	110.37223	88.00106	10.47801	5.58224	1.08877	84.09814	293.0429	3.02407	120.77272	239.68945	4.10215		182.44703	11.19935	96.5058	78.21548	440.52685	369.4656	141.927	51.20844	1.54786	49.30892	242.13405	0.28015	15.17945		0.45484	342.75715	66.6929	13.29628
111	15.10609	288.39756	18.49992	7.13626	7.85021	51.26112	0.72773	3.55603	54.59909	53.91899	6.72284	1.119	2.54165	124.54019	394.00454	1.77119	3.61617	6.51345	36.23602	162.54787	1.86987	200.73855	167.82638	3.02165	9.07792	103.10638	8.3606	179.00435	71.03037	300.51865	58.37848	110.77766	37.08409	5.20569	31.56589	325.99546	2.3966	5.75195	10.29069	7.77011	21.5261	66.23495	13.56425
